doc_id,titulo_original,grupo,arquivos,criado_em_drive,modificado_em_drive,palavras,turnos_humano,turnos_ia,turnos_ia_por_fornecedor,modelos_distintos,idioma_principal,prop_pt,prop_en,prop_fr,trechos_removidos,palavras_removidas,redacoes
M01,Conversas,metodologia-multi-ia,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md corpus/metodologia-multi-ia/M01-conversas_parte-3-de-4.md corpus/metodologia-multi-ia/M01-conversas_parte-4-de-4.md,2025-04-15,2026-06-10,229293,43,314,openai:106;google:94;anthropic:79;perplexity:35,23,pt,0.72,0.14,0.14,0,0,109
M02,Analise_Conversas_MiniRelatorio.md,metodologia-multi-ia,corpus/metodologia-multi-ia/M02-analise-conversas-minirelatorio.md,2026-04-23,2026-04-23,503,0,0,,0,pt,0.8,0.01,0.19,0,0,0
M03,Análises,metodologia-multi-ia,corpus/metodologia-multi-ia/M03-analises.md,2025-09-15,2026-07-30,60279,10,45,google:13;openai:11;anthropic:9;perplexity:9;desconhecido:3,11,pt,0.85,0.03,0.12,0,0,140
M04,Deep Research Prompt Engineering,metodologia-multi-ia,corpus/metodologia-multi-ia/M04-deep-research-prompt-engineering.md,2025-11-03,2026-06-05,94344,2,61,google:22;anthropic:22;desconhecido:13;openai:4,8,en,0.34,0.62,0.04,0,0,0
M05,Deep Research about Deep Research,metodologia-multi-ia,corpus/metodologia-multi-ia/M05-deep-research-about-deep-research.md,2025-11-03,2026-06-15,103436,8,46,google:15;anthropic:14;openai:12;desconhecido:3;perplexity:2,13,pt,0.59,0.33,0.08,0,0,1
M06,GPTBuilder,metodologia-multi-ia,corpus/metodologia-multi-ia/M06-gptbuilder.md,2025-11-11,2026-06-26,105135,12,64,openai:44;google:11;anthropic:9,14,pt,0.49,0.45,0.06,0,0,12
M07,Gems Builder,metodologia-multi-ia,corpus/metodologia-multi-ia/M07-gems-builder.md,2025-11-12,2026-06-26,100901,13,49,openai:22;google:19;anthropic:8,9,en,0.39,0.56,0.05,0,0,2
M08,Deep Research Making GPTs,metodologia-multi-ia,corpus/metodologia-multi-ia/M08-deep-research-making-gpts.md,2025-11-12,2026-06-17,46243,3,28,openai:8;google:7;anthropic:7;perplexity:6,7,en,0.27,0.69,0.03,0,0,0
M09,How to build Gems,metodologia-multi-ia,corpus/metodologia-multi-ia/M09-how-to-build-gems.md,2025-11-16,2026-06-28,5837,1,4,openai:2;anthropic:2,2,pt,0.84,0.03,0.13,0,0,0
M10,DG IAs,metodologia-multi-ia,corpus/metodologia-multi-ia/M10-dg-ias.md,2026-05-09,2026-09-01,109697,13,103,openai:31;anthropic:30;google:21;perplexity:20;desconhecido:1,8,pt,0.75,0.14,0.11,0,0,31
M11,DG Muli-AI pipeline,metodologia-multi-ia,corpus/metodologia-multi-ia/M11-dg-muli-ai-pipeline.md,2026-06-05,2026-06-14,3606,1,4,openai:2;google:1;anthropic:1,3,pt,0.69,0.24,0.07,0,0,0
M12,GPTs/Gems/Projetos/Espaços,metodologia-multi-ia,corpus/metodologia-multi-ia/M12-gpts-gems-projetos-espacos.md,2026-06-09,2026-08-31,31379,5,29,openai:11;google:9;anthropic:9,7,pt,0.82,0.05,0.13,0,0,2
M13,Deep Research Making Projects,metodologia-multi-ia,corpus/metodologia-multi-ia/M13-deep-research-making-projects.md,2026-06-28,2026-06-28,3914,1,4,openai:2;anthropic:2,2,pt,0.54,0.39,0.07,0,0,0
M14,DG 2,metodologia-multi-ia,corpus/metodologia-multi-ia/M14-dg-2.md,2026-09-22,2026-09-23,17036,1,6,openai:3;anthropic:3,2,pt,0.83,0.05,0.12,0,0,0
P01,Ementas,pesquisa-academica,corpus/pesquisa-academica/P01-ementas_parte-1-de-3.md corpus/pesquisa-academica/P01-ementas_parte-2-de-3.md corpus/pesquisa-academica/P01-ementas_parte-3-de-3.md,2025-08-01,2025-09-09,142508,30,181,openai:68;google:65;anthropic:48,7,fr,0.46,0.02,0.52,0,0,0
P02,Problemas matemáticos,pesquisa-academica,corpus/pesquisa-academica/P02-problemas-matematicos.md,2025-08-28,2025-08-29,87195,10,89,anthropic:29;google:26;openai:20;desconhecido:14,7,pt,0.84,0.07,0.09,0,0,0
P03,Projetos de pesquisa,pesquisa-academica,corpus/pesquisa-academica/P03-projetos-de-pesquisa_parte-1-de-3.md corpus/pesquisa-academica/P03-projetos-de-pesquisa_parte-2-de-3.md corpus/pesquisa-academica/P03-projetos-de-pesquisa_parte-3-de-3.md,2025-08-29,2026-09-12,146662,31,150,openai:54;google:43;anthropic:34;perplexity:19,20,pt,0.73,0.14,0.12,0,0,42
